icao,name,city,state,country,lat,lon,timezone_id,mississippi_direction
K0S7,Dorothy Scott Intl,Oroville,Washington,US,48.958333,-119.411667,America/Los_Angeles,WEST
K0S9,Jefferson County Intl,Port Townsend,Washington,US,48.053333,-122.81,America/Los_Angeles,WEST
K1B1,Columbia County,Hudson,New York,US,42.291667,-73.71,America/New_York,EAST
K1S1,Eckhart Intl,Porthill,Idaho,US,48.99,-116.501667,America/Los_Angeles,WEST
K39N,Princeton,Princeton/Rocky Hill,NJ,US,40.3990889,-74.6590064,America/New_York,EAST
K3CM,James Clements Muni,Bay City,Michigan,US,43.546667,-83.895,America/Detroit,EAST
K59B,Newton Fld,Jackman,Maine,US,45.631667,-70.246667,America/New_York,EAST
K5B2,Saratoga County,Saratoga Springs,New York,US,43.05,-73.861667,America/New_York,EAST
K5T9,Maverick County Meml Intl,Eagle Pass,Texas,US,28.856667,-100.513333,America/Chicago,WEST
K60B,Moose River,Jackman,Maine,US,45.633333,-70.266667,America/New_York,EAST
K69S,Avey Fld,Laurier,Washington,US,48.998333,-118.223333,America/Los_Angeles,WEST
K74S,Anacortes,Anacortes,Washington,US,48.498333,-122.661667,America/Los_Angeles,WEST
K79J,South Alabama Rgnl At Bill Ben,Andalusia,AL,US,31.308361,-86.392222,America/Chicago,EAST
K7S8,Ross Intl,Sweetgrass,Montana,US,48.998333,-111.978333,America/Denver,WEST
K8U3,Scobey Border Station/East Poplar Intl,Scobey,Montana,US,49.0,-105.4,America/Regina,WEST
KAAA,Logan County,Lincoln,IL,US,40.1586944,-89.3350278,America/Chicago,EAST
KAAF,Apalachicola Rgnl-Cleve Randolph Fld,Apalachicola,FL,US,29.7275494,-85.0273775,America/New_York,EAST
KAAO,Colonel James Jabara,Wichita,KS,US,37.7475742,-97.2211178,America/Chicago,WEST
KAAS,Taylor County,Campbellsville,KY,US,37.3582778,-85.3094167,America/New_York,EAST
KAAT,Alturas Muni,Alturas,CA,US,41.4828611,-120.5654167,America/Los_Angeles,WEST
KABE,Lehigh Valley Intl,Allentown,PA,US,40.6523628,-75.4404058,America/New_York,EAST
KABI,Abilene Rgnl,Abilene,TX,US,32.4113333,-99.6818889,America/Chicago,WEST
KABQ,Albuquerque Intl Sunport,Albuquerque,NM,US,35.0389316,-106.6082622,America/Denver,WEST
KABR,Aberdeen Rgnl,Aberdeen,SD,US,45.4467981,-98.4224408,America/Chicago,WEST
KABY,Southwest Georgia Rgnl,Albany,GA,US,31.5355278,-84.1944722,America/New_York,EAST
KACB,Antrim County,Bellaire,MI,US,44.9885775,-85.1983467,America/Detroit,EAST
KACJ,Jimmy Carter Rgnl,Americus,GA,US,32.1108056,-84.1888611,America/New_York,EAST
KACK,Nantucket Meml,Nantucket,MA,US,41.2532992,-70.0605114,America/New_York,EAST
KACP,Allen Parish,Oakdale,LA,US,30.7505086,-92.6884908,America/Chicago,WEST
KACQ,Waseca Muni/Maynard Richard Stensrud Fld,Waseca,MN,US,44.0734722,-93.5529442,America/Chicago,WEST
KACT,Waco Rgnl,Waco,TX,US,31.6121944,-97.2303056,America/Chicago,WEST
KACV,California Redwood Coast-Humboldt County,Arcata/Eureka,CA,US,40.9778264,-124.1084692,America/Los_Angeles,WEST
KACY,Atlantic City Intl,Atlantic City,NJ,US,39.4575833,-74.5771667,America/New_York,EAST
KACZ,Henderson Fld,Wallace,NC,US,34.7178611,-78.0038889,America/New_York,EAST
KADC,Wadena Muni,Wadena,MN,US,46.449945,-95.210832,America/Chicago,WEST
KADF,Dexter B Florence Meml Fld,Arkadelphia,AR,US,34.0998056,-93.0660833,America/Chicago,WEST
KADG,Lenawee County,Adrian,MI,US,41.8676367,-84.0773058,America/Detroit,EAST
KADH,Ada Rgnl,Ada,OK,US,34.804262,-96.6711997,America/Chicago,WEST
KADM,Ardmore Muni,Ardmore,OK,US,34.3038734,-97.0205974,America/Chicago,WEST
KADS,Addison,Dallas,TX,US,32.9685556,-96.8364444,America/Chicago,WEST
KADT,Atwood County,Atwood,KS,US,39.8403385,-101.0424829,America/Chicago,WEST
KADU,Audubon County,Audubon,IA,US,41.7015278,-94.9204444,America/Chicago,WEST
KAEG,Double Eagle II,Albuquerque,NM,US,35.1449094,-106.7951739,America/Denver,WEST
KAEJ,Central Colorado Rgnl,Buena Vista,CO,US,38.8141944,-106.1206111,America/Denver,WEST
KAEL,Albert Lea Muni,Albert Lea,MN,US,43.6813143,-93.3681484,America/Chicago,WEST
KAEX,Alexandria Intl,Alexandria,LA,US,31.3273717,-92.5485558,America/Chicago,WEST
KAFJ,Washington County,Washington,PA,US,40.1364722,-80.2901944,America/New_York,EAST
KAFK,Nebraska City Muni,Nebraska City,NE,US,40.6065278,-95.8666667,America/Chicago,WEST
KAFN,Jaffrey,Jaffrey,NH,US,42.8051342,-72.0030219,America/New_York,EAST
KAFO,Afton Muni,Afton,WY,US,42.7087706,-110.9421711,America/Denver,WEST
KAFP,Anson County/Jeff Cloud Fld,Wadesboro,NC,US,35.0206378,-80.0771175,America/New_York,EAST
KAFW,Perot Fld/Fort Worth Alliance,Fort Worth,TX,US,32.9903067,-97.3194294,America/Chicago,WEST
KAGC,Allegheny County,Pittsburgh,PA,US,40.3544376,-79.9290467,America/New_York,EAST
KAGO,Ralph C Weiser Fld,Magnolia,AR,US,33.2274722,-93.217,America/Chicago,WEST
KAGS,Augusta Regional,Augusta,GA,US,33.3699444,-81.9645,America/New_York,EAST
KAGZ,Wagner Muni,Wagner,SD,US,43.0641661,-98.2963821,America/Chicago,WEST
KAHH,Amery Muni,Amery,WI,US,45.2811483,-92.3753922,America/Chicago,EAST
KAHN,Athens/Ben Epps,Athens,GA,US,33.9486403,-83.3259142,America/New_York,EAST
KAHQ,Wahoo Muni,Wahoo,NE,US,41.2406081,-96.594555,America/Chicago,WEST
KAIA,Alliance Muni,Alliance,NE,US,42.0532222,-102.80375,America/Denver,WEST
KAIB,Hopkins Fld,Nucla,CO,US,38.2390022,-108.5628067,America/Denver,WEST
KAID,Anderson Municipal,Anderson,IN,US,40.1086111,-85.613,America/Indiana/Indianapolis,EAST
KAIG,Langlade County,Antigo,WI,US,45.1539497,-89.1106167,America/Chicago,EAST
KAIK,Aiken Rgnl,Aiken,SC,US,33.6493889,-81.6850278,America/New_York,EAST
KAIO,Atlantic Muni,Atlantic,IA,US,41.4038333,-95.04875,America/Chicago,WEST
KAIT,Aitkin Municipal,Aitkin,MN,US,46.5484619,-93.6766322,America/Chicago,EAST
KAIV,George Downer,Aliceville,AL,US,33.1067444,-88.197175,America/Chicago,EAST
KAIZ,Lee C Fine Meml,Kaiser/Lake Ozark,MO,US,38.0960278,-92.5494722,America/Chicago,WEST
KAJG,Mount Carmel Muni,Mount Carmel,IL,US,38.6065278,-87.7266944,America/Chicago,EAST
KAJO,Corona Muni,Corona,CA,US,33.8976541,-117.6024398,America/Los_Angeles,WEST
KAJR,Habersham County,Cornelia,GA,US,34.4998517,-83.5566647,America/New_York,EAST
KAJZ,Blake Fld,Delta,CO,US,38.7856033,-108.0620136,America/Denver,WEST
KAKH,Gastonia Muni,Gastonia,NC,US,35.2026231,-81.1498758,America/New_York,EAST
KAKO,Colorado Plains Rgnl,Akron,CO,US,40.1756389,-103.2220278,America/Denver,WEST
KAKQ,Wakefield Muni,Wakefield,VA,US,36.9872222,-77.0011389,America/New_York,EAST
KAKR,Akron Fulton Intl,Akron,OH,US,41.0374236,-81.4676847,America/New_York,EAST
KALB,Albany Intl,Albany,NY,US,42.7491161,-73.80198,America/New_York,EAST
KALI,Alice Intl,Alice,TX,US,27.7408889,-98.0269444,America/Chicago,WEST
KALM,Alamogordo Rgnl,Alamogordo,NM,US,32.8394167,-105.9911389,America/Denver,WEST
KALN,St Louis Rgnl,Alton/St Louis,IL,US,38.8899167,-90.046,America/Chicago,EAST
KALO,Waterloo Rgnl,Waterloo,IA,US,42.5584492,-92.4010233,America/Chicago,WEST
KALS,San Luis Valley Rgnl,Alamosa,CO,US,37.435125,-105.8678753,America/Denver,WEST
KALW,Walla Walla Rgnl,Walla Walla,WA,US,46.0925417,-118.2840825,America/Los_Angeles,WEST
KALX,Thomas C Russell Fld,Alexander City,AL,US,32.91475,-85.9629444,America/Chicago,EAST
KAMA,Amarillo Intl,Amarillo,TX,US,35.2193611,-101.7059167,America/Chicago,WEST
KAMG,Bacon County,Alma,GA,US,31.5360578,-82.5065533,America/New_York,EAST
KAMN,Gratiot Community,Alma,MI,US,43.3221419,-84.6879386,America/Detroit,EAST
