guid,sort_order,name,model_id,model_speed,category_speed
CAT1,1,Navajo,mdl2d592902c51,NULL,150
CAT1,1,SR20,mdl66ffd4b687c,NULL,150
CAT1,1,Chieftain,mdl7c4b4c30abf,NULL,150
CAT1,1,Malibu Mirage,mdlf66b9b65221,NULL,150
CAT1,1,Skyhawk,mdlc65e8df8fe6,NULL,150
CAT1,1,Turbo Skylane,mdlcbadd1d70df,NULL,150
CAT1,1,SR22,mdl83c6cfa1fe6,NULL,150
CAT1,1,SR22T,mdl598296788ef,NULL,150
CAT1,1,Bonanza G36,mdl464e0729666,NULL,150
CAT1,1,Baron G58,mdl6cb0bb0c5ad,NULL,150
CAT1,1,402,mdl54c7957da67,NULL,150
CAT1,1,Skylane,mdl0e9550fabed,NULL,150
CAT1,1,Turbo Stationair Air,mdlbd40b6ca807,NULL,150
CAT1,1,M350,mdl186af313d95,NULL,150
CAT10,10,340 A,mdl2424397e421,NULL,520
CAT10,10,A320,mdla6e735caa3d,NULL,520
CAT10,10,340 B,mdld48d402b7f5,NULL,520
CAT10,10,Lineage 1000E,mdl4dc8cf479a9,NULL,520
CAT10,10,A319,mdl49cad55df6a,NULL,520
CAT10,10,Dornier 328,mdld8e5b12b0dc,400,520
CAT10,10,Saab 2000,mdl9e1fd644ca4,NULL,520
CAT10,10,CRJ 100,mdlbde0e24573e,NULL,520
CAT10,10,DC-9,mdlb715488c820,NULL,520
CAT10,10,A318,mdl2ca716566b9,NULL,520
CAT10,10,BBJ3,mdla060d27c816,NULL,520
CAT10,10,EMB 120 Brasillia,mdl32fb31e6150,378,520
CAT10,10,ERJ 135 LR,mdld815be27f9d,NULL,520
CAT10,10,Dornier 228,mdl5536ce03eaa,420,520
CAT10,10,ERJ 135 LU,mdle1754a595f7,NULL,520
CAT10,10,ERJ 140,mdl4a972a9f9e9,515,520
CAT10,10,ERJ 145 XR,mdl6a72557fa83,NULL,520
CAT10,10,ERJ 145 VIP,mdl3828ee17fca,NULL,520
CAT10,10,ERJ 145 LU,mdl5877aa9e5d4,NULL,520
CAT10,10,ERJ 145 LR,mdl75809d3c3db,NULL,520
CAT10,10,Jetstream 41,mdl751676700c5,NULL,520
CAT10,10,CRJ 200,mdl2691cb21f32,NULL,520
CAT10,10,BBJ,mdled72ea7749b,NULL,520
CAT10,10,ERJ 145,mdl64667cb1052,NULL,520
CAT10,10,BBJ2,mdld72800d737e,NULL,520
CAT10,10,ERJ 145 EP,mdlb3f3eeca160,NULL,520
CAT10,10,Lineage 1000,mdl43ab9675721,NULL,520
CAT10,10,190,mdld3751ca7b75,NULL,520
CAT11,11,EC130,mdledf8c2a7975,400,130
CAT2,2,PC-12 NG,mdld9e0c631884,289,312
CAT2,2,Grand Caravan EX,mdld7e76ea46de,NULL,312
CAT2,2,Caravan,mdla578c4f1dde,186,312
CAT2,2,King Air 200,mdl47129d35095,289,312
CAT2,2,PC-12,mdlada9a0f850c,289,312
CAT2,2,Grand Caravan,mdl51fa2aa2c68,NULL,312
CAT2,2,King Air 350,mdl3a8075f29bc,320,312
CAT2,2,PC-12 NGX,mdl56fc594f765,289,312
CAT2,2,PC-12/45,mdla8ff7c15240,289,312
CAT2,2,King Air 360,mdl167c66c033a,312,312
CAT2,2,M500,mdldb9eac5c10f,NULL,312
CAT2,2,P180 Avanti II,mdl78479f2b6e5,460,312
CAT2,2,King Air B200,mdl8453ebbd34f,290,312
CAT2,2,King Air 260,mdl51082794f22,310,312
CAT2,2,Beechcraft 1900D,mdlc6cd1278b07,280,312
CAT2,2,Beechcraft 1900C,mdl2c6aeb6af36,NULL,312
CAT2,2,Denali,mdlb671f00de95,NULL,312
CAT2,2,PC-12/47E,mdl291a3b201a6,289,312
CAT2,2,King Air C90A,mdl3efac6d9165,NULL,312
CAT2,2,King Air 200C,mdl8470c80af3d,NULL,312
CAT2,2,King Air 250,mdl44546311093,310,312
CAT2,2,King Air 250CGT,mdlf4f0d65089f,NULL,312
CAT2,2,King Air 250GT,mdlcc5df2a327f,NULL,312
CAT2,2,King Air 360ER,mdl107f93593f7,NULL,312
CAT2,2,King Air B200GT,mdlc0ade9c7579,305,312
CAT2,2,Sky Courier,mdlf258e4fcf01,NULL,312
CAT2,2,King Air C90-B,mdl7fa8a3275a2,250,312
CAT2,2,King Air C90-GT,mdlc2413fbb4a5,270,312
CAT2,2,King Air C90-GTi,mdl91e5b14a264,270,312
CAT2,2,King Air C90-GTx,mdl8eb525f2461,274,312
CAT2,2,King Air E90,mdl0d6e9498c79,NULL,312
CAT2,2,Meridian,mdl7fd10850a9c,267,312
CAT2,2,M600 SLS,mdld9c7e452d24,274,312
CAT2,2,King Air 300,mdl2b26cd893ad,320,312
CAT2,2,TBM 900,mdle59893d710f,324,312
CAT2,2,King Air 350i,mdla6a8806bdca,312,312
CAT2,2,TBM 850,mdl132f0a37601,320,312
CAT2,2,King Air C90,mdl43e0aa174ec,223,312
CAT2,2,TBM 940,mdlf726ccb1d71,NULL,312
CAT2,2,TBM 700,mdl2088e068050,292,312
CAT2,2,Kodiak 100,mdl5ccb6d995bb,NULL,312
CAT3,3,HondaJet,mdlba7ac677a47,422,400
CAT3,3,Citation Mustang,mdl81e4eed9f6a,340,400
CAT3,3,Eclipse 500,mdl5ce0ea9edaf,NULL,400
CAT3,3,Citation CJ1,mdle34ad326e4c,381,400
CAT3,3,Phenom 100,mdld4ba5fae4bf,390,400
CAT3,3,Citation CJ,mdl1e572bb9155,380,400
CAT3,3,Vision Jet,mdla57481d7eaa,NULL,400
CAT3,3,Phenom 100E,mdlfd2f96544c9,NULL,400
CAT3,3,HondaJet Elite S,mdl83844c354fb,NULL,400
CAT3,3,HondaJet Elite,mdld319c722474,NULL,400
CAT3,3,Citation CJ1+,mdlbd6fb9287e2,360,400
CAT3,3,Citation M2,mdl67fe15d0f53,372,400
